Student.num,Sibling.num,Father.num,Mother.num,Other.num,Student.inf,Sibling.inf,Father.inf,Mother.inf,Other.inf,Frequency
1,2,1,1,2,0,0,1,0,2,1
1,2,1,1,2,0,1,0,0,0,36
1,2,1,1,2,0,1,0,0,1,1
1,2,1,1,2,0,1,0,1,0,5
1,2,1,1,2,0,1,1,0,0,3
1,2,1,1,2,0,2,0,0,0,7
1,2,1,1,2,0,2,0,1,0,1
1,2,1,1,2,0,2,0,1,1,1
1,2,1,1,2,0,2,1,0,0,1
1,2,1,1,2,0,2,1,0,1,1
1,2,1,1,2,0,2,1,1,1,1
1,2,1,1,2,1,0,0,0,0,25
1,2,1,1,2,1,0,0,1,0,1
1,2,1,1,2,1,0,1,0,0,1
1,2,1,1,2,1,0,1,1,0,1
1,2,1,1,2,1,1,0,0,0,14
1,2,1,1,2,1,1,0,0,1,1
1,2,1,1,2,1,1,0,0,2,1
1,2,1,1,2,1,1,0,1,0,4
1,2,1,1,2,1,1,0,1,1,1
1,2,1,1,2,1,1,0,1,2,1
1,2,1,1,2,1,1,1,0,0,2
1,2,1,1,2,1,1,1,0,1,2
1,2,1,1,2,1,1,1,0,2,1
1,2,1,1,2,1,1,1,1,1,1
1,2,1,1,2,1,2,0,0,0,4
1,2,1,1,2,1,2,0,1,0,2
1,2,1,1,2,1,2,1,0,1,1
1,2,1,1,2,1,2,1,0,2,1
1,2,1,1,2,1,2,1,1,0,3
1,2,1,1,3,0,0,0,0,0,28
1,2,1,1,3,0,0,0,0,1,3
1,2,1,1,3,0,0,1,0,0,5
1,2,1,1,3,0,1,0,0,0,9
1,2,1,1,3,0,2,0,1,2,1
1,2,1,1,3,1,0,0,0,0,1
1,2,1,1,3,1,1,0,0,0,3
1,2,1,1,3,1,1,0,0,1,1
1,2,1,1,3,1,1,0,1,0,2
1,2,1,1,3,1,2,0,0,2,1
1,2,1,1,3,1,2,0,1,0,1
1,2,1,1,3,1,2,0,1,1,2
1,2,1,1,4,0,1,0,0,0,1
1,2,1,1,4,0,2,0,1,1,1
1,2,1,1,4,1,0,0,0,1,1
1,2,1,1,5,0,0,0,0,0,1
1,3,0,0,0,0,0,0,0,0,2
1,3,0,0,1,0,0,0,0,0,1
1,3,0,0,1,1,1,0,0,0,1
1,3,0,1,0,0,0,0,0,0,23
1,3,0,1,0,0,1,1,1,0,1
1,3,0,1,0,0,2,0,0,0,1
1,3,0,1,0,1,0,0,0,0,1
1,3,0,1,0,1,1,0,1,0,1
1,3,0,1,0,1,2,0,1,0,1
1,3,0,1,1,0,0,0,0,0,3
1,3,0,1,1,0,0,0,1,0,1
1,3,0,1,2,0,0,0,0,0,1
1,3,0,1,2,0,1,0,0,0,2
1,3,0,1,2,1,0,0,0,0,1
1,3,0,1,4,0,2,0,1,1,1
1,3,1,1,0,0,0,0,0,0,131
1,3,1,1,0,0,0,0,1,0,3
1,3,1,1,0,0,0,1,0,0,4
1,3,1,1,0,0,1,0,0,0,37
1,3,1,1,0,0,1,0,1,0,5
1,3,1,1,0,0,1,1,0,0,1
1,3,1,1,0,0,1,1,1,0,1
1,3,1,1,0,0,2,0,0,0,6
1,3,1,1,0,0,2,0,1,0,3
1,3,1,1,0,0,2,1,0,0,2
1,3,1,1,0,0,3,0,0,0,1
1,3,1,1,0,0,3,0,1,0,1
1,3,1,1,0,1,0,0,0,0,29
1,3,1,1,0,1,0,1,0,0,1
1,3,1,1,0,1,1,0,0,0,9
1,3,1,1,0,1,1,0,1,0,2
1,3,1,1,0,1,1,1,0,0,2
1,3,1,1,0,1,1,1,1,0,1
1,3,1,1,0,1,2,0,0,0,5
1,3,1,1,0,1,2,0,1,0,1
1,3,1,1,0,1,2,1,0,0,2
1,3,1,1,0,1,2,1,1,0,3
1,3,1,1,1,0,0,0,0,0,15
1,3,1,1,1,0,0,1,0,0,2
1,3,1,1,1,0,1,0,0,0,3
1,3,1,1,1,0,1,0,1,0,1
1,3,1,1,1,0,1,1,0,0,2
1,3,1,1,1,0,1,1,0,1,1
1,3,1,1,1,0,2,0,0,0,1
1,3,1,1,1,0,2,1,1,1,1
1,3,1,1,1,1,0,0,0,0,3
1,3,1,1,1,1,1,0,0,0,3
1,3,1,1,1,1,1,1,0,0,1
1,3,1,1,1,1,1,1,1,0,1
1,3,1,1,1,1,3,1,1,1,2
1,3,1,1,2,0,0,0,0,0,27
1,3,1,1,2,0,0,0,1,0,4
1,3,1,1,2,0,0,1,0,0,1
1,3,1,1,2,0,1,0,0,0,5
1,3,1,1,2,0,1,0,0,1,1
1,3,1,1,2,0,1,0,1,0,1
1,3,1,1,2,0,1,1,1,0,1
1,3,1,1,2,0,1,1,1,1,2
1,3,1,1,2,0,2,0,0,1,1
1,3,1,1,2,0,2,0,1,0,1
1,3,1,1,2,0,2,1,0,0,1
1,3,1,1,2,1,0,0,0,0,2
1,3,1,1,2,1,0,0,0,1,1
1,3,1,1,2,1,1,0,0,0,3
1,3,1,1,2,1,1,0,0,1,1
